0.0               The               president         has               relinquished      his               control           of                the               company           s                 board             
The               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.00162984425933  0.0               0.00470843897139  
president         0.000549349935909 0.0               0.0               0.0               0.0               0.0               0.00274674967955  0.0               0.0               0.000366233290606 0.0               
has               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               
relinquished      0.0               0.0               0.0               0.0               0.000372370135915 0.0               0.0               0.0               0.0               0.0               0.0               
his               0.0               0.0               0.0               0.0               0.0               0.000550458715596 0.0               0.0               0.000733944954128 0.0               0.000733944954128 
control           0.0               0.0               0.0               0.0               0.0               0.0               0.00111462010032  0.0               0.0               0.0               0.0               
of                0.0               0.000633914421553 0.0               0.0               0.000792393026941 0.0               0.0               0.0423137876387   0.000316957210777 0.0               0.000475435816165 
the               0.0               0.000735186002059 0.0               0.0               0.0               0.0               0.0               0.0               0.0126451992354   0.0               0.0216144684605   
company           0.00126857557086  0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.00779267850671  0.0               
s                 0.0               0.000521285838401 0.0               0.0               0.0               0.0               0.0               0.000695047784535 0.0               0.0               0.00851433536056  
board             0.00209168554994  0.0               0.00191737842078  0.0               0.0               0.0               0.00505490674569  0.000348614258323 0.0               0.00313752832491  0.0               
