0.0               The               chief             executive         officer           said              the               last              year              revenue           was               good              
The               0.0               0.000362187613184 0.000362187613184 0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               
chief             0.0               0.0               0.0303738317757   0.0               0.000359453630482 0.0               0.0               0.0               0.0               0.0               0.0               
executive         0.0               0.0               0.0               0.0206834532374   0.00143884892086  0.0               0.0               0.0               0.0               0.0               0.0               
officer           0.000544959128065 0.0               0.0               0.0               0.00326975476839  0.0               0.000363306085377 0.0               0.0               0.000726612170754 0.0               
said              0.000707839320474 0.0               0.0               0.0               0.0               0.00583967439391  0.0               0.0               0.0               0.000353919660237 0.0               
the               0.0               0.0               0.000588148801647 0.0               0.0               0.0               0.000735186002059 0.000588148801647 0.0               0.0               0.0               
last              0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.000925411808255 0.0               0.0               0.0               
year              0.000368459837878 0.0               0.0               0.0               0.000368459837878 0.0               0.0               0.0               0.0               0.0               0.0               
revenue           0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               
was               0.0               0.0               0.0               0.0               0.0               0.00108205590622  0.0               0.0               0.0               0.0               0.0               
good              0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               
