0         The       chief     executive officer   said      the       last      year      revenue   was       good      
The       0         1         0         0         0         0         0         0         0         0         0         
chief     0         0         1         0         0         0         0         0         0         0         0         
executive 0         0         0         1         0         0         0         0         0         0         0         
officer   0         0         0         0         1         0         0         0         0         0         0         
said      0         0         0         0         0         1         0         0         0         0         0         
the       0         0         0         0         0         0         1         0         0         0         0         
last      0         0         0         0         0         0         0         1         0         0         0         
year      0         0         0         0         0         0         0         0         1         0         0         
revenue   0         0         0         0         0         0         0         0         0         1         0         
was       0         0         0         0         0         0         0         0         0         0         1         
good      0         0         0         0         0         0         0         0         0         0         0         
