0.0               The               president         has               relinquished      his               control           of                the               company           s                 board             
The               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0016139044072   0.0               0.00096834264432  
president         0.00017615724996  0.0               0.0               0.0               0.0               0.0               0.00325884543762  0.0               0.0               3.55190161573e-05 0.0               
has               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               
relinquished      0.0               0.0               0.0               0.0               3.55190161573e-05 0.0               0.0               0.0               0.0               0.0               0.0               
his               0.0               0.0               0.0               0.0               0.0               0.00017615724996  0.0               0.0               0.000331236846464 0.0               0.000331236846464 
control           0.0               0.0               0.0               0.0               0.0               0.0               0.000725779496729 0.0               0.0               0.0               0.0               
of                0.0               0.000331236846464 0.0               0.0               0.000531407548712 0.0               0.0               0.0               3.55190161573e-05 0.0               0.00017615724996  
the               0.0               0.000531407548712 0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               
company           0.000651769087523 0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.0               0.00800744878957  0.0               
s                 0.0               0.00017615724996  0.0               0.0               0.0               0.0               0.0               0.000331236846464 0.0               0.0               0.0               
board             0.00167597765363  0.0               0.00144594150509  0.0               0.0               0.0               0.00270018621974  3.55190161573e-05 0.0               0.000558659217877 0.0               
