0.0              The              president        has              relinquished     his              control          of               the              company          s                board            
The              0.0              0.0              0.0              0.0              0.0              0.0              0.0              0.0              0.0526315789474  0.0              0.164473684211   
president        0.021978021978   0.0              0.0              0.0              0.0              0.0              0.153846153846   0.0              0.0              0.010989010989   0.0              
has              0.0              0.0              0.0              0.0              0.0              0.0              0.0              0.0              0.0              0.0              0.0              
relinquished     0.0              0.0              0.0              0.0              1.0              0.0              0.0              0.0              0.0              0.0              0.0              
his              0.0              0.0              0.0              0.0              0.0              0.025            0.0              0.0              0.0375           0.0              0.0375           
control          0.0              0.0              0.0              0.0              0.0              0.0              0.384615384615   0.0              0.0              0.0              0.0              
of               0.0              0.0031914893617  0.0              0.0              0.00425531914894 0.0              0.0              0.282978723404   0.00106382978723 0.0              0.00212765957447 
the              0.0              0.00279524807827 0.0              0.0              0.0              0.0              0.0              0.0              0.0593990216632  0.0              0.102026554857   
company          0.0405405405405  0.0              0.0              0.0              0.0              0.0              0.0              0.0              0.0              0.283783783784   0.0              
s                0.0              0.00519480519481 0.0              0.0              0.0              0.0              0.0              0.00779220779221 0.0              0.0              0.124675324675   
board            0.0299727520436  0.0              0.0272479564033  0.0              0.0              0.0              0.0762942779292  0.00272479564033 0.0              0.0463215258856  0.0              
