0.0              The              chief            executive        officer          said             the              last             year             revenue          was              good             
The              0.0              0.00657894736842 0.00657894736842 0.0              0.0              0.0              0.0              0.0              0.0              0.0              0.0              
chief            0.0              0.0              0.865979381443   0.0              0.00515463917526 0.0              0.0              0.0              0.0              0.0              0.0              
executive        0.0              0.0              0.0              0.6              0.0368421052632  0.0              0.0              0.0              0.0              0.0              0.0              
officer          0.0148148148148  0.0              0.0              0.0              0.125925925926   0.0              0.00740740740741 0.0              0.0              0.0222222222222  0.0              
said             0.0106761565836  0.0              0.0              0.0              0.0              0.113879003559   0.0              0.0              0.0              0.00355871886121 0.0              
the              0.0              0.0              0.0020964360587  0.0              0.0              0.0              0.00279524807827 0.0020964360587  0.0              0.0              0.0              
last             0.0              0.0              0.0              0.0              0.0              0.0              0.0              0.121212121212   0.0              0.0              0.0              
year             0.0172413793103  0.0              0.0              0.0              0.0172413793103  0.0              0.0              0.0              0.0              0.0              0.0              
revenue          0.0              0.0              0.0              0.0              0.0              0.0              0.0              0.0              0.0              0.0              0.0              
was              0.0              0.0              0.0              0.0              0.0              0.0285714285714  0.0              0.0              0.0              0.0              0.0              
good             0.0              0.0              0.0              0.0              0.0              0.0              0.0              0.0              0.0              0.0              0.0              
